1236380405,1
1400749152,1
1427583973,1109
1427587605,1115
1427589977,154
1427590831,1063
1427591573,632
1427592210,1138
1427592300,534
1427592465,196
1427593052,707
1427593641,1066
1427595804,206
1427598480,414
1427601244,121
1427602503,1100
1427602581,679
1427603034,743
1427603313,1110
1427603960,58
1427605041,1083
1427608695,1086
1427611500,1000
1427612513,1123
1427616657,1071
1427616842,214
1427616882,752
1427617877,838
1427620683,614
1427622133,1092
1427624332,434
1427626355,1131
1427627952,1136
1427631271,1086
1427633167,1055
1427634153,390
1427635110,1095
1427639247,1051
1427643670,4
1427648447,1094
1427648915,1093
1427652811,656
1427652963,1085
1427654367,589
1427654820,1081
1427656354,1088
1427659827,1023
1427662425,1066
1427668517,1100
1427672811,1009
1427675612,561
1427677814,1080
1427679360,1018
1427682987,1104
1427683122,1117
1427683692,317
1427685475,723
1427688265,1112
1427689630,540
1427699837,1091
1427701864,1104
1427704773,1095
1427705930,962
1427710465,1107
1427714217,64
1427715021,1098
1427716044,86
1427716985,1109
1427717997,1130
1427718241,1121
1427718637,404
1427721785,1156
1427722075,712
1427722133,215
1427723110,1097
1427727480,1122
1427731544,1062
1427731845,29
1427732714,8
1427733180,1090
1427733671,490
1427733824,728
1427733943,122
1427739495,1115
1427743413,31
1427747761,1091
1427749581,1082
1427749604,1048
1427751365,593
1427751511,317
1427753861,1083
1427755310,1095
1427756644,75
1427757742,1074
1427758353,1147
1427763725,673
1427763785,1084
1427764695,129
1427764763,234
1427764885,1089
1427767664,357
1427770475,1098
1427772923,1099
1427772955,1088
1427778110,76
1427778630,1089
1427781257,1078
1427784422,922
1427785057,1102
1427790270,46
1427791747,1091
1427793024,809
1427794842,1096
1427798572,580
1427799307,1088
1427801217,11
1427802851,964
1427803060,656
1427807683,1103
1427808664,1113
1427810841,1104
1427813545,1050
1427815721,1129
1427816602,1101
1427820455,65
1427823420,557
1427825320,1142
1427825430,152
1427827025,581
1427827193,1092
1427827570,1150
1427828665,773
1427830533,993
1427833624,1089
1427834320,605
1427835531,291
1427836754,1057
1427837635,1101
1427839717,1107
1427840352,1098
1427841315,1110
1427842754,1106
1427842945,169
1427843737,1077
1427844833,1162
1427844971,83
1427846302,1049
1427848567,855
1427851377,157
1427854112,1114
1427855105,1001
1427856044,564
1427860251,1130
1427860691,665
1427862181,111
1427864260,600
1427864280,309
1427864321,1416
1427864823,330
1427869902,1111
1427871170,1080
1427872764,365
1427874617,165
1427875813,1128
1427876533,577
1427877127,929
1427877191,1073
1427877877,786
1427880974,858
1427882435,1100
1427886984,1101
1427890455,1003
1427893767,1081
1427894905,75
1427898074,1070
1427899751,391
1427900227,1097
1432602970,1117
